"","depress_grp","select_characteristics","sum_total","share","week"
"1","Less than half the days","    Yes",160667,0.430750711139351,34
"2","More than half the days","    Yes",212326,0.569249288860649,34
"3","Less than half the days","    No",1863348,0.835804694165172,34
"4","More than half the days","    No",366058,0.164195305834828,34
"5","Less than half the days","    Other",106115,0.674679874365789,34
"6","More than half the days","    Other",51167,0.325320125634211,34
"7","Less than half the days","    Did not report",30642,0.871080535577224,34
"8","More than half the days","    Did not report",4535,0.128919464422776,34
"9","Less than half the days","    Yes",177809,0.709199179955169,35
"10","More than half the days","    Yes",72909,0.290800820044831,35
"11","Less than half the days","    No",1959904,0.833211392258152,35
"12","More than half the days","    No",392325,0.166788607741848,35
"13","Less than half the days","    Other",83190,0.628688890064463,35
"14","More than half the days","    Other",49133,0.371311109935537,35
"15","Less than half the days","    Did not report",46873,0.905233680957899,35
"16","More than half the days","    Did not report",4907,0.0947663190421012,35
"17","Less than half the days","    Yes",189794,0.625140809349082,36
"18","More than half the days","    Yes",113808,0.374859190650918,36
"19","Less than half the days","    No",2003755,0.848210581747189,36
"20","More than half the days","    No",358577,0.151789418252811,36
"21","Less than half the days","    Other",53433,0.575749412753486,36
"22","More than half the days","    Other",39373,0.424250587246514,36
"23","Less than half the days","    Did not report",24808,0.985539488320356,36
"24","More than half the days","    Did not report",364,0.014460511679644,36
"25","Less than half the days","    Yes",218746,0.564620916264219,37
"26","More than half the days","    Yes",168675,0.435379083735781,37
"27","Less than half the days","    No",1956145,0.846408934923506,37
"28","More than half the days","    No",354966,0.153591065076494,37
"29","Less than half the days","    Other",102135,0.75595079491962,37
"30","More than half the days","    Other",32973,0.24404920508038,37
"31","Less than half the days","    Did not report",55220,0.631807780320366,37
"32","More than half the days","    Did not report",32180,0.368192219679634,37
"33","Less than half the days","    Yes",239514,0.61081188603605,38
"34","More than half the days","    Yes",152610,0.38918811396395,38
"35","Less than half the days","    No",1929696,0.857183216462643,38
"36","More than half the days","    No",321510,0.142816783537357,38
"37","Less than half the days","    Other",99012,0.609589715805546,38
"38","More than half the days","    Other",63412,0.390410284194454,38
"39","Less than half the days","    Did not report",39102,0.934225301636603,38
"40","More than half the days","    Did not report",2753,0.0657746983633974,38
"41","Less than half the days","    Yes",205662,0.685670277352697,39
"42","More than half the days","    Yes",94281,0.314329722647303,39
"43","Less than half the days","    No",2045973,0.847529993264409,39
"44","More than half the days","    No",368069,0.152470006735591,39
"45","Less than half the days","    Other",123178,0.565135207054441,39
"46","More than half the days","    Other",94784,0.434864792945559,39
"47","Less than half the days","    Did not report",31087,0.904559606599354,39
"48","More than half the days","    Did not report",3280,0.095440393400646,39
"49","Less than half the days","    Yes",208855,0.55666462325755,40
"50","More than half the days","    Yes",166335,0.44333537674245,40
"51","Less than half the days","    No",1922139,0.84544961515471,40
"52","More than half the days","    No",351372,0.15455038484529,40
"53","Less than half the days","    Other",91667,0.699838910392952,40
"54","More than half the days","    Other",39316,0.300161089607048,40
"55","Less than half the days","    Did not report",37101,0.80133480204756,40
"56","More than half the days","    Did not report",9198,0.19866519795244,40
"57","Less than half the days","    Yes",218005,0.61133467001304,41
"58","More than half the days","    Yes",138600,0.38866532998696,41
"59","Less than half the days","    No",2039382,0.836761539320016,41
"60","More than half the days","    No",397850,0.163238460679985,41
"61","Less than half the days","    Other",60588,0.662040932285805,41
"62","More than half the days","    Other",30929,0.337959067714195,41
"63","Less than half the days","    Did not report",49501,0.898841516560139,41
"64","More than half the days","    Did not report",5571,0.101158483439861,41
"65","Less than half the days","    Yes",170770,0.655194904849601,42
"66","More than half the days","    Yes",89870,0.344805095150399,42
"67","Less than half the days","    No",1919904,0.816786134702426,42
"68","More than half the days","    No",430655,0.183213865297574,42
"69","Less than half the days","    Other",82762,0.591342993512247,42
"70","More than half the days","    Other",57194,0.408657006487753,42
"71","Less than half the days","    Did not report",30833,0.857902058987201,42
"72","More than half the days","    Did not report",5107,0.142097941012799,42
"73","Less than half the days","    Yes",228309,0.745671649590599,43
"74","More than half the days","    Yes",77870,0.254328350409401,43
"75","Less than half the days","    No",1898784,0.85197963092836,43
"76","More than half the days","    No",329889,0.14802036907164,43
"77","Less than half the days","    Other",140192,0.778256428476262,43
"78","More than half the days","    Other",39944,0.221743571523738,43
"79","Less than half the days","    Did not report",53537,1,43
"80","More than half the days","    Did not report",0,0,43
"81","Less than half the days","    Yes",182169,0.506579423035211,44
"82","More than half the days","    Yes",177437,0.493420576964789,44
"83","Less than half the days","    No",1881938,0.838574074107081,44
"84","More than half the days","    No",362274,0.161425925892919,44
"85","Less than half the days","    Other",118977,0.597673145222463,44
"86","More than half the days","    Other",80090,0.402326854777537,44
"87","Less than half the days","    Did not report",42686,0.910965043322378,44
"88","More than half the days","    Did not report",4172,0.0890349566776217,44
"89","Less than half the days","    Yes",263198,0.807905997335609,45
"90","More than half the days","    Yes",62580,0.192094002664391,45
"91","Less than half the days","    No",1910232,0.854754182864752,45
"92","More than half the days","    No",324600,0.145245817135248,45
"93","Less than half the days","    Other",78677,0.66968268019475,45
"94","More than half the days","    Other",38807,0.33031731980525,45
"95","Less than half the days","    Did not report",21055,0.617593570339082,45
"96","More than half the days","    Did not report",13037,0.382406429660918,45
"97","Less than half the days","    Yes",207274,0.64997977377992,46
"98","More than half the days","    Yes",111619,0.35002022622008,46
"99","Less than half the days","    No",1865354,0.862404009302025,46
"100","More than half the days","    No",297616,0.137595990697975,46
"101","Less than half the days","    Other",81519,0.596762858523301,46
"102","More than half the days","    Other",55083,0.403237141476699,46
"103","Less than half the days","    Did not report",32501,0.642528122096356,46
"104","More than half the days","    Did not report",18082,0.357471877903644,46
"105","Less than half the days","    Yes",225708,0.715983276340082,47
"106","More than half the days","    Yes",89534,0.284016723659918,47
"107","Less than half the days","    No",1968621,0.849393660379052,47
"108","More than half the days","    No",349057,0.150606339620948,47
"109","Less than half the days","    Other",96317,0.719186111629643,47
"110","More than half the days","    Other",37608,0.280813888370357,47
"111","Less than half the days","    Did not report",55990,0.953703072835048,47
"112","More than half the days","    Did not report",2718,0.046296927164952,47
"113","Less than half the days","    Yes",230250,0.715350918072514,48
"114","More than half the days","    Yes",91620,0.284649081927486,48
"115","Less than half the days","    No",1847043,0.864952131376005,48
"116","More than half the days","    No",288385,0.135047868623995,48
"117","Less than half the days","    Other",78584,0.604241315146016,48
"118","More than half the days","    Other",51470,0.395758684853984,48
"119","Less than half the days","    Did not report",32627,0.972981838785674,48
"120","More than half the days","    Did not report",906,0.0270181612143262,48
"121","Less than half the days","    Yes",248030,0.664167414210928,49
"122","More than half the days","    Yes",125415,0.335832585789072,49
"123","Less than half the days","    No",1757597,0.828714321279172,49
"124","More than half the days","    No",363275,0.171285678720828,49
"125","Less than half the days","    Other",94870,0.830481025955268,49
"126","More than half the days","    Other",19365,0.169518974044732,49
"127","Less than half the days","    Did not report",41628,0.971617962841938,49
"128","More than half the days","    Did not report",1216,0.0283820371580618,49
"129","Less than half the days","    Yes",256911,0.724139680535316,50
"130","More than half the days","    Yes",97870,0.275860319464684,50
"131","Less than half the days","    No",1821557,0.800256654025804,50
"132","More than half the days","    No",454659,0.199743345974196,50
"133","Less than half the days","    Other",64151,0.452535641476026,50
"134","More than half the days","    Other",77608,0.547464358523974,50
"135","Less than half the days","    Did not report",36403,0.94720545378851,50
"136","More than half the days","    Did not report",2029,0.0527945462114904,50
"137","Less than half the days","    Yes",274880,0.729265879069422,51
"138","More than half the days","    Yes",102047,0.270734120930578,51
"139","Less than half the days","    No",1781884,0.832474408622044,51
"140","More than half the days","    No",358583,0.167525591377956,51
"141","Less than half the days","    Other",119234,0.725832765169962,51
"142","More than half the days","    Other",45038,0.274167234830038,51
"143","Less than half the days","    Did not report",29811,1,51
"144","More than half the days","    Did not report",0,0,51
"145","Less than half the days","    Yes",241423,0.696341526729007,52
"146","More than half the days","    Yes",105279,0.303658473270994,52
"147","Less than half the days","    No",1798249,0.837077783456829,52
"148","More than half the days","    No",349997,0.162922216543171,52
"149","Less than half the days","    Other",101713,0.723966859794724,52
"150","More than half the days","    Other",38781,0.276033140205276,52
"151","Less than half the days","    Did not report",53502,0.858160237388724,52
"152","More than half the days","    Did not report",8843,0.141839762611276,52
"153","Less than half the days","    Yes",202424,0.585687088056756,53
"154","More than half the days","    Yes",143194,0.414312911943244,53
"155","Less than half the days","    No",1787357,0.835417330769468,53
"156","More than half the days","    No",352121,0.164582669230532,53
"157","Less than half the days","    Other",77707,0.817409141113975,53
"158","More than half the days","    Other",17358,0.182590858886025,53
"159","Less than half the days","    Did not report",73708,0.898155143421149,53
"160","More than half the days","    Did not report",8358,0.101844856578851,53
"161","Less than half the days","    Yes",192206,0.529887243955559,54
"162","More than half the days","    Yes",170524,0.470112756044441,54
"163","Less than half the days","    No",1831913,0.823436048973398,54
"164","More than half the days","    No",392805,0.176563951026602,54
"165","Less than half the days","    Other",93383,0.856669755153339,54
"166","More than half the days","    Other",15624,0.143330244846661,54
"167","Less than half the days","    Did not report",13344,0.491455509723041,54
"168","More than half the days","    Did not report",13808,0.508544490276959,54
"169","Less than half the days","    Yes",244384,0.716515232809399,55
"170","More than half the days","    Yes",96689,0.283484767190601,55
"171","Less than half the days","    No",1875250,0.872926319944662,55
"172","More than half the days","    No",272984,0.127073680055338,55
"173","Less than half the days","    Other",79400,0.718552036199095,55
"174","More than half the days","    Other",31100,0.281447963800905,55
"175","Less than half the days","    Did not report",26842,0.910052551279878,55
"176","More than half the days","    Did not report",2653,0.0899474487201221,55
"177","Less than half the days","    Yes",237574,0.653915389061683,56
"178","More than half the days","    Yes",125736,0.346084610938317,56
"179","Less than half the days","    No",1637498,0.844309194396564,56
"180","More than half the days","    No",301955,0.155690805603436,56
"181","Less than half the days","    Other",129098,0.729214796906861,56
"182","More than half the days","    Other",47939,0.270785203093139,56
"183","Less than half the days","    Did not report",28709,0.789641609593751,56
"184","More than half the days","    Did not report",7648,0.210358390406249,56
"185","Less than half the days","    Yes",201464,0.811929230645226,57
"186","More than half the days","    Yes",46666,0.188070769354774,57
"187","Less than half the days","    No",1828777,0.820328413603592,57
"188","More than half the days","    No",400546,0.179671586396408,57
"189","Less than half the days","    Other",115470,0.718423164745189,57
"190","More than half the days","    Other",45257,0.281576835254811,57
"191","Less than half the days","    Did not report",15095,0.671605267841253,57
"192","More than half the days","    Did not report",7381,0.328394732158747,57
